value_rank,domain,word,length,google_20k_rank,is_google_20k
761,leaves.ai,leaves,6,3364,yes
762,safari.ai,safari,6,3380,yes
763,sugar.ai,sugar,5,3383,yes
764,stick.ai,stick,5,3387,yes
765,genre.ai,genre,5,3393,yes
766,slide.ai,slide,5,3394,yes
767,tested.ai,tested,6,3397,yes
768,exact.ai,exact,5,3402,yes
769,bound.ai,bound,5,3403,yes
770,formal.ai,formal,6,3408,yes
771,hockey.ai,hockey,6,3412,yes
772,storm.ai,storm,5,3413,yes
773,micro.ai,micro,5,3414,yes
774,cancel.ai,cancel,6,3439,yes
775,paint.ai,paint,5,3445,yes
776,delay.ai,delay,5,3446,yes
777,pilot.ai,pilot,5,3447,yes
778,outlet.ai,outlet,6,3448,yes
779,novel.ai,novel,5,3456,yes
780,ultra.ai,ultra,5,3461,yes
781,winner.ai,winner,6,3462,yes
782,potter.ai,potter,6,3468,yes
783,modify.ai,modify,6,3475,yes
784,truly.ai,truly,5,3478,yes
785,patent.ai,patent,6,3487,yes
786,eating.ai,eating,6,3492,yes
787,lodge.ai,lodge,5,3496,yes
788,mirror.ai,mirror,6,3498,yes
789,kernel.ai,kernel,6,3505,yes
790,stocks.ai,stocks,6,3507,yes
791,broad.ai,broad,5,3516,yes
792,chosen.ai,chosen,6,3519,yes
793,swiss.ai,swiss,5,3523,yes
794,clark.ai,clark,5,3525,yes
795,labour.ai,labour,6,3526,yes
796,nights.ai,nights,6,3530,yes
797,behalf.ai,behalf,6,3531,yes
798,liquid.ai,liquid,6,3533,yes
799,salary.ai,salary,6,3537,yes
800,guard.ai,guard,5,3541,yes
801,saving.ai,saving,6,3544,yes
802,empire.ai,empire,6,3547,yes
803,resume.ai,resume,6,3548,yes
804,twenty.ai,twenty,6,3549,yes
805,newly.ai,newly,5,3550,yes
806,raise.ai,raise,5,3551,yes
807,decide.ai,decide,6,3568,yes
808,drama.ai,drama,5,3570,yes
809,lunch.ai,lunch,5,3584,yes
810,dildo.ai,dildo,5,3585,yes
811,audit.ai,audit,5,3586,yes
812,guinea.ai,guinea,6,3589,yes
813,muscle.ai,muscle,6,3591,yes
814,tower.ai,tower,5,3599,yes
815,yours.ai,yours,5,3600,yes
816,attend.ai,attend,6,3607,yes
817,shower.ai,shower,6,3608,yes
818,shell.ai,shell,5,3616,yes
819,solar.ai,solar,5,3633,yes
820,catch.ai,catch,5,3635,yes
821,doubt.ai,doubt,5,3643,yes
822,finder.ai,finder,6,3645,yes
823,unable.ai,unable,6,3646,yes
824,forth.ai,forth,5,3664,yes
825,insert.ai,insert,6,3665,yes
826,alumni.ai,alumni,6,3670,yes
827,split.ai,split,5,3684,yes
828,heaven.ai,heaven,6,3687,yes
829,twice.ai,twice,5,3691,yes
830,shift.ai,shift,5,3711,yes
831,saved.ai,saved,5,3736,yes
832,paying.ai,paying,6,3737,yes
833,carbon.ai,carbon,6,3744,yes
834,crisis.ai,crisis,6,3752,yes
835,bright.ai,bright,6,3757,yes
836,treat.ai,treat,5,3758,yes
837,header.ai,header,6,3759,yes
838,formed.ai,formed,6,3762,yes
839,piano.ai,piano,5,3763,yes
840,plasma.ai,plasma,6,3774,yes
841,banner.ai,banner,6,3787,yes
842,teach.ai,teach,5,3806,yes
843,rapid.ai,rapid,5,3809,yes
844,hairy.ai,hairy,5,3811,yes
845,dutch.ai,dutch,5,3825,yes
846,boots.ai,boots,5,3831,yes
847,router.ai,router,6,3833,yes
848,folder.ai,folder,6,3838,yes
849,upload.ai,upload,6,3842,yes
850,pulse.ai,pulse,5,3843,yes
851,voting.ai,voting,6,3848,yes
852,strip.ai,strip,5,3862,yes
853,pearl.ai,pearl,5,3864,yes
854,regard.ai,regard,6,3876,yes
855,smooth.ai,smooth,6,3880,yes
856,strike.ai,strike,6,3884,yes
857,narrow.ai,narrow,6,3889,yes
858,threat.ai,threat,6,3891,yes
859,penis.ai,penis,5,3899,yes
860,castle.ai,castle,6,3905,yes
861,acting.ai,acting,6,3916,yes
862,logos.ai,logos,5,3920,yes
863,honda.ai,honda,5,3941,yes
864,stable.ai,stable,6,3947,yes
865,opera.ai,opera,5,3948,yes
866,lesson.ai,lesson,6,3952,yes
867,cinema.ai,cinema,6,3953,yes
868,asset.ai,asset,5,3954,yes
869,blank.ai,blank,5,3961,yes
870,severe.ai,severe,6,3964,yes
871,deluxe.ai,deluxe,6,3970,yes
872,humor.ai,humor,5,3971,yes
873,lived.ai,lived,5,3975,yes
874,fabric.ai,fabric,6,3982,yes
875,tight.ai,tight,5,3986,yes
876,flying.ai,flying,6,3992,yes
877,berlin.ai,berlin,6,3995,yes
878,meant.ai,meant,5,4005,yes
879,plane.ai,plane,5,4010,yes
880,desire.ai,desire,6,4015,yes
881,caught.ai,caught,6,4024,yes
882,marked.ai,marked,6,4026,yes
883,driven.ai,driven,6,4027,yes
884,bottle.ai,bottle,6,4030,yes
885,rubber.ai,rubber,6,4036,yes
886,legend.ai,legend,6,4042,yes
887,grace.ai,grace,5,4043,yes
888,python.ai,python,6,4048,yes
889,villa.ai,villa,5,4052,yes
890,inner.ai,inner,5,4062,yes
891,entity.ai,entity,6,4067,yes
892,holder.ai,holder,6,4070,yes
893,erotic.ai,erotic,6,4081,yes
894,ethics.ai,ethics,6,4084,yes
895,dragon.ai,dragon,6,4086,yes
896,stereo.ai,stereo,6,4101,yes
897,taste.ai,taste,5,4103,yes
898,commit.ai,commit,6,4105,yes
899,sides.ai,sides,5,4115,yes
900,turns.ai,turns,5,4117,yes
901,cache.ai,cache,5,4120,yes
902,jacket.ai,jacket,6,4122,yes
903,oracle.ai,oracle,6,4125,yes
904,lease.ai,lease,5,4128,yes
905,excess.ai,excess,6,4133,yes
906,giant.ai,giant,5,4140,yes
907,alarm.ai,alarm,5,4148,yes
908,usual.ai,usual,5,4152,yes
909,angle.ai,angle,5,4157,yes
910,vinyl.ai,vinyl,5,4159,yes
911,mining.ai,mining,6,4161,yes
912,worst.ai,worst,5,4165,yes
913,garage.ai,garage,6,4179,yes
914,morgan.ai,morgan,6,4190,yes
915,honor.ai,honor,5,4193,yes
916,eagle.ai,eagle,5,4196,yes
917,pants.ai,pants,5,4198,yes
918,nurse.ai,nurse,5,4200,yes
919,prayer.ai,prayer,6,4201,yes
920,quiet.ai,quiet,5,4205,yes
921,cheese.ai,cheese,6,4213,yes
922,comic.ai,comic,5,4214,yes
923,crown.ai,crown,5,4219,yes
924,maker.ai,maker,5,4223,yes
925,crack.ai,crack,5,4224,yes
926,fetish.ai,fetish,6,4232,yes
927,smoke.ai,smoke,5,4236,yes
928,apache.ai,apache,6,4237,yes
929,craft.ai,craft,5,4241,yes
930,apart.ai,apart,5,4244,yes
931,fellow.ai,fellow,6,4245,yes
932,blind.ai,blind,5,4246,yes
933,lounge.ai,lounge,6,4247,yes
934,gross.ai,gross,5,4253,yes
935,horror.ai,horror,6,4260,yes
936,mainly.ai,mainly,6,4284,yes
937,ethnic.ai,ethnic,6,4285,yes
938,actor.ai,actor,5,4288,yes
939,fifth.ai,fifth,5,4292,yes
940,prize.ai,prize,5,4300,yes
941,layout.ai,layout,6,4318,yes
942,dirty.ai,dirty,5,4328,yes
943,donate.ai,donate,6,4331,yes
944,taught.ai,taught,6,4332,yes
945,worker.ai,worker,6,4335,yes
946,alive.ai,alive,5,4337,yes
947,temple.ai,temple,6,4338,yes
948,prove.ai,prove,5,4340,yes
949,prefer.ai,prefer,6,4351,yes
950,ridge.ai,ridge,5,4352,yes
951,vector.ai,vector,6,4369,yes
952,shaved.ai,shaved,6,4371,yes
953,buffer.ai,buffer,6,4373,yes
954,purple.ai,purple,6,4374,yes
955,larry.ai,larry,5,4377,yes
956,mutual.ai,mutual,6,4384,yes
957,syntax.ai,syntax,6,4387,yes
958,prison.ai,prison,6,4390,yes
959,skill.ai,skill,5,4391,yes
960,throw.ai,throw,5,4404,yes
961,trend.ai,trend,5,4405,yes
962,sierra.ai,sierra,6,4406,yes
963,desert.ai,desert,6,4409,yes
964,steven.ai,steven,6,4419,yes
965,worse.ai,worse,5,4423,yes
966,summit.ai,summit,6,4424,yes
967,escape.ai,escape,6,4430,yes
968,glance.ai,glance,6,4440,yes
969,arcade.ai,arcade,6,4443,yes
970,fiber.ai,fiber,5,4451,yes
971,graph.ai,graph,5,4453,yes
972,filing.ai,filing,6,4459,yes
973,foster.ai,foster,6,4460,yes
974,tissue.ai,tissue,6,4466,yes
975,fraud.ai,fraud,5,4480,yes
976,roger.ai,roger,5,4488,yes
977,aspect.ai,aspect,6,4489,yes
978,priced.ai,priced,6,4495,yes
979,crash.ai,crash,5,4498,yes
980,inter.ai,inter,5,4501,yes
981,closer.ai,closer,6,4502,yes
982,shadow.ai,shadow,6,4505,yes
983,riding.ai,riding,6,4506,yes
984,grove.ai,grove,5,4511,yes
985,clinic.ai,clinic,6,4514,yes
986,packet.ai,packet,6,4520,yes
987,spray.ai,spray,5,4521,yes
988,funded.ai,funded,6,4529,yes
989,extend.ai,extend,6,4532,yes
990,nelson.ai,nelson,6,4544,yes
991,mayor.ai,mayor,5,4552,yes
992,murder.ai,murder,6,4553,yes
993,yield.ai,yield,5,4557,yes
994,digest.ai,digest,6,4562,yes
995,hence.ai,hence,5,4567,yes
996,radar.ai,radar,5,4571,yes
997,rescue.ai,rescue,6,4572,yes
998,combat.ai,combat,6,4575,yes
999,diary.ai,diary,5,4586,yes
1000,baker.ai,baker,5,4596,yes
1001,shock.ai,shock,5,4602,yes
1002,abroad.ai,abroad,6,4605,yes
1003,ebony.ai,ebony,5,4606,yes
1004,drawn.ai,drawn,5,4609,yes
1005,walker.ai,walker,6,4614,yes
1006,beast.ai,beast,5,4619,yes
1007,dodge.ai,dodge,5,4626,yes
1008,pizza.ai,pizza,5,4629,yes
1009,palace.ai,palace,6,4669,yes
1010,verify.ai,verify,6,4675,yes
1011,globe.ai,globe,5,4676,yes
1012,copper.ai,copper,6,4678,yes
1013,kerry.ai,kerry,5,4687,yes
1014,nobody.ai,nobody,6,4691,yes
1015,ghost.ai,ghost,5,4692,yes
1016,pride.ai,pride,5,4700,yes
1017,cloudy.ai,cloudy,6,4709,yes
1018,chile.ai,chile,5,4713,yes
1019,plenty.ai,plenty,6,4715,yes
1020,throat.ai,throat,6,4718,yes
1021,ignore.ai,ignore,6,4719,yes
1022,maria.ai,maria,5,4720,yes
1023,wealth.ai,wealth,6,4723,yes
1024,vacuum.ai,vacuum,6,4727,yes
1025,brass.ai,brass,5,4731,yes
1026,plaza.ai,plaza,5,4733,yes
1027,quest.ai,quest,5,4737,yes
1028,booty.ai,booty,5,4750,yes
1029,venue.ai,venue,5,4755,yes
1030,vital.ai,vital,5,4760,yes
1031,fairly.ai,fairly,6,4762,yes
1032,excel.ai,excel,5,4770,yes
1033,stupid.ai,stupid,6,4775,yes
1034,harbor.ai,harbor,6,4776,yes
1035,enemy.ai,enemy,5,4784,yes
1036,puzzle.ai,puzzle,6,4785,yes
1037,rising.ai,rising,6,4786,yes
1038,lucky.ai,lucky,5,4797,yes
1039,latter.ai,latter,6,4798,yes
1040,thick.ai,thick,5,4800,yes
1041,repeat.ai,repeat,6,4802,yes
1042,vista.ai,vista,5,4813,yes
1043,chips.ai,chips,5,4815,yes
1044,terry.ai,terry,5,4816,yes
1045,flood.ai,flood,5,4817,yes
1046,arena.ai,arena,5,4823,yes
1047,casual.ai,casual,6,4833,yes
1048,grown.ai,grown,5,4834,yes
1049,polish.ai,polish,6,4835,yes
1050,lovely.ai,lovely,6,4836,yes
1051,jerry.ai,jerry,5,4840,yes
1052,clause.ai,clause,6,4841,yes
1053,smile.ai,smile,5,4842,yes
1054,indoor.ai,indoor,6,4846,yes
1055,armed.ai,armed,5,4848,yes
1056,broker.ai,broker,6,4849,yes
1057,trucks.ai,trucks,6,4859,yes
1058,laura.ai,laura,5,4863,yes
1059,partly.ai,partly,6,4866,yes
1060,candy.ai,candy,5,4870,yes
1061,tiger.ai,tiger,5,4872,yes
1062,sensor.ai,sensor,6,4875,yes
1063,deputy.ai,deputy,6,4880,yes
1064,sealed.ai,sealed,6,4882,yes
1065,loaded.ai,loaded,6,4886,yes
1066,boost.ai,boost,5,4894,yes
1067,moral.ai,moral,5,4904,yes
1068,finger.ai,finger,6,4908,yes
1069,pound.ai,pound,5,4910,yes
1070,locate.ai,locate,6,4911,yes
1071,bread.ai,bread,5,4920,yes
1072,wooden.ai,wooden,6,4922,yes
1073,tough.ai,tough,5,4924,yes
1074,chest.ai,chest,5,4935,yes
1075,billy.ai,billy,5,4937,yes
1076,solve.ai,solve,5,4953,yes
1077,shorts.ai,shorts,6,4954,yes
1078,facing.ai,facing,6,4968,yes
1079,nancy.ai,nancy,5,4970,yes
1080,sight.ai,sight,5,4976,yes
1081,refund.ai,refund,6,4982,yes
1082,hearts.ai,hearts,6,5001,yes
1083,worry.ai,worry,5,5005,yes
1084,carter.ai,carter,6,5009,yes
1085,legacy.ai,legacy,6,5010,yes
1086,danger.ai,danger,6,5013,yes
1087,widely.ai,widely,6,5015,yes
1088,phrase.ai,phrase,6,5017,yes
1089,hybrid.ai,hybrid,6,5023,yes
1090,glory.ai,glory,5,5031,yes
1091,bigger.ai,bigger,6,5034,yes
1092,diesel.ai,diesel,6,5036,yes
1093,versus.ai,versus,6,5037,yes
1094,exceed.ai,exceed,6,5041,yes
1095,fault.ai,fault,5,5045,yes
1096,jimmy.ai,jimmy,5,5065,yes
1097,graham.ai,graham,6,5066,yes
1098,slowly.ai,slowly,6,5074,yes
1099,infant.ai,infant,6,5082,yes
1100,fluid.ai,fluid,5,5086,yes
1101,unlike.ai,unlike,6,5096,yes
1102,wright.ai,wright,6,5102,yes
1103,barry.ai,barry,5,5104,yes
1104,proven.ai,proven,6,5105,yes
1105,warren.ai,warren,6,5109,yes
1106,devil.ai,devil,5,5117,yes
1107,grass.ai,grass,5,5118,yes
1108,comply.ai,comply,6,5119,yes
1109,cherry.ai,cherry,6,5123,yes
1110,sized.ai,sized,5,5148,yes
1111,manga.ai,manga,5,5149,yes
1112,socket.ai,socket,6,5151,yes
1113,silent.ai,silent,6,5152,yes
1114,theft.ai,theft,5,5160,yes
1115,swing.ai,swing,5,5162,yes
1116,facial.ai,facial,6,5168,yes
1117,talent.ai,talent,6,5170,yes
1118,seeker.ai,seeker,6,5173,yes
1119,wisdom.ai,wisdom,6,5174,yes
1120,shoot.ai,shoot,5,5175,yes
1121,offset.ai,offset,6,5179,yes
1122,payday.ai,payday,6,5180,yes
1123,elite.ai,elite,5,5182,yes
1124,robot.ai,robot,5,5191,yes
1125,powder.ai,powder,6,5200,yes
1126,assess.ai,assess,6,5203,yes
1127,gnome.ai,gnome,5,5208,yes
1128,losing.ai,losing,6,5211,yes
1129,noble.ai,noble,5,5214,yes
1130,gospel.ai,gospel,6,5219,yes
1131,shore.ai,shore,5,5221,yes
1132,knight.ai,knight,6,5225,yes
1133,loose.ai,loose,5,5227,yes
1134,parker.ai,parker,6,5243,yes
1135,triple.ai,triple,6,5255,yes
1136,cooper.ai,cooper,6,5256,yes
1137,sought.ai,sought,6,5278,yes
1138,median.ai,median,6,5283,yes
1139,herein.ai,herein,6,5286,yes
1140,horny.ai,horny,5,5289,yes
1141,carpet.ai,carpet,6,5304,yes
1142,binary.ai,binary,6,5308,yes
1143,walter.ai,walter,6,5319,yes
1144,atlas.ai,atlas,5,5332,yes
1145,ralph.ai,ralph,5,5348,yes
1146,warner.ai,warner,6,5353,yes
1147,wizard.ai,wizard,6,5359,yes
1148,corps.ai,corps,5,5360,yes
1149,liver.ai,liver,5,5362,yes
1150,liable.ai,liable,6,5364,yes
1151,morris.ai,morris,6,5366,yes
1152,recall.ai,recall,6,5370,yes
1153,picked.ai,picked,6,5372,yes
1154,belief.ai,belief,6,5376,yes
1155,bikini.ai,bikini,6,5378,yes
1156,lookup.ai,lookup,6,5382,yes
1157,refine.ai,refine,6,5397,yes
1158,bidder.ai,bidder,6,5398,yes
1159,singer.ai,singer,6,5399,yes
1160,herald.ai,herald,6,5401,yes
1161,aging.ai,aging,5,5404,yes
1162,diving.ai,diving,6,5411,yes
1163,invite.ai,invite,6,5412,yes
1164,terror.ai,terror,6,5421,yes
1165,thirty.ai,thirty,6,5423,yes
1166,clerk.ai,clerk,5,5436,yes
1167,jeans.ai,jeans,5,5445,yes
1168,favor.ai,favor,5,5455,yes
1169,sigma.ai,sigma,5,5459,yes
1170,victim.ai,victim,6,5466,yes
1171,arrive.ai,arrive,6,5474,yes
1172,sunset.ai,sunset,6,5476,yes
1173,framed.ai,framed,6,5483,yes
1174,aside.ai,aside,5,5484,yes
1175,essay.ai,essay,5,5490,yes
1176,trace.ai,trace,5,5503,yes
1177,inform.ai,inform,6,5526,yes
1178,intent.ai,intent,6,5534,yes
1179,spoke.ai,spoke,5,5543,yes
1180,arrow.ai,arrow,5,5545,yes
1181,rough.ai,rough,5,5548,yes
1182,weird.ai,weird,5,5549,yes
1183,blade.ai,blade,5,5556,yes
1184,oxygen.ai,oxygen,6,5558,yes
1185,canyon.ai,canyon,6,5561,yes
1186,merely.ai,merely,6,5564,yes
1187,sleeve.ai,sleeve,6,5580,yes
1188,stroke.ai,stroke,6,5586,yes
1189,robin.ai,robin,5,5592,yes
1190,strap.ai,strap,5,5595,yes
1191,crowd.ai,crowd,5,5598,yes
1192,skiing.ai,skiing,6,5620,yes
1193,cloud.ai,cloud,5,5621,yes
1194,valve.ai,valve,5,5624,yes
1195,knife.ai,knife,5,5631,yes
1196,shelf.ai,shelf,5,5634,yes
1197,timing.ai,timing,6,5636,yes
1198,adopt.ai,adopt,5,5639,yes
1199,outer.ai,outer,5,5647,yes
1200,tales.ai,tales,5,5654,yes
1201,twelve.ai,twelve,6,5671,yes
1202,decade.ai,decade,6,5673,yes
1203,tired.ai,tired,5,5678,yes
1204,steam.ai,steam,5,5684,yes
1205,acute.ai,acute,5,5690,yes
1206,stood.ai,stood,5,5693,yes
1207,carol.ai,carol,5,5697,yes
1208,honest.ai,honest,6,5698,yes
1209,stack.ai,stack,5,5702,yes
1210,curve.ai,curve,5,5714,yes
1211,amber.ai,amber,5,5716,yes
1212,trunk.ai,trunk,5,5725,yes
1213,camel.ai,camel,5,5736,yes
1214,juice.ai,juice,5,5751,yes
1215,chase.ai,chase,5,5752,yes
1216,sauce.ai,sauce,5,5755,yes
1217,panama.ai,panama,6,5760,yes
1218,afraid.ai,afraid,6,5795,yes
1219,locked.ai,locked,6,5807,yes
1220,fusion.ai,fusion,6,5810,yes
1221,canvas.ai,canvas,6,5818,yes
1222,parish.ai,parish,6,5820,yes
1223,coupon.ai,coupon,6,5833,yes
1224,proxy.ai,proxy,5,5837,yes
1225,tagged.ai,tagged,6,5850,yes
1226,killer.ai,killer,6,5853,yes
1227,bishop.ai,bishop,6,5859,yes
1228,shaped.ai,shaped,6,5863,yes
1229,farmer.ai,farmer,6,5867,yes
1230,slave.ai,slave,5,5874,yes
1231,floral.ai,floral,6,5902,yes
1232,fisher.ai,fisher,6,5909,yes
1233,guilty.ai,guilty,6,5928,yes
1234,haven.ai,haven,5,5932,yes
1235,tablet.ai,tablet,6,5933,yes
1236,charm.ai,charm,5,5938,yes
1237,basin.ai,basin,5,5943,yes
1238,ranch.ai,ranch,5,5946,yes
1239,drunk.ai,drunk,5,5952,yes
1240,toner.ai,toner,5,5958,yes
1241,latex.ai,latex,5,5960,yes
1242,alien.ai,alien,5,5966,yes
1243,broke.ai,broke,5,5972,yes
1244,thesis.ai,thesis,6,5989,yes
1245,nylon.ai,nylon,5,5992,yes
1246,rocky.ai,rocky,5,5995,yes
1247,fleet.ai,fleet,5,6013,yes
1248,bunch.ai,bunch,5,6015,yes
1249,afford.ai,afford,6,6020,yes
1250,turner.ai,turner,6,6036,yes
1251,spoken.ai,spoken,6,6044,yes
1252,omega.ai,omega,5,6045,yes
1253,stayed.ai,stayed,6,6047,yes
1254,civic.ai,civic,5,6048,yes
1255,saver.ai,saver,5,6056,yes
1256,grill.ai,grill,5,6058,yes
1257,redeem.ai,redeem,6,6061,yes
1258,grain.ai,grain,5,6063,yes
1259,regime.ai,regime,6,6066,yes
1260,depend.ai,depend,6,6073,yes
1261,differ.ai,differ,6,6074,yes
1262,breath.ai,breath,6,6080,yes
1263,candle.ai,candle,6,6085,yes
1264,herbal.ai,herbal,6,6099,yes
1265,loving.ai,loving,6,6100,yes
1266,gains.ai,gains,5,6110,yes
1267,hacker.ai,hacker,6,6127,yes
1268,margin.ai,margin,6,6130,yes
1269,solely.ai,solely,6,6133,yes
1270,salon.ai,salon,5,6135,yes
1271,turbo.ai,turbo,5,6140,yes
1272,headed.ai,headed,6,6141,yes
1273,murphy.ai,murphy,6,6148,yes
1274,thats.ai,thats,5,6150,yes
1275,reset.ai,reset,5,6164,yes
1276,brush.ai,brush,5,6165,yes
1277,spare.ai,spare,5,6173,yes
1278,kodak.ai,kodak,5,6176,yes
1279,tongue.ai,tongue,6,6177,yes
1280,monkey.ai,monkey,6,6182,yes
1281,skirt.ai,skirt,5,6185,yes
1282,invest.ai,invest,6,6187,yes
1283,honey.ai,honey,5,6188,yes
1284,atomic.ai,atomic,6,6197,yes
1285,gauge.ai,gauge,5,6201,yes
1286,faced.ai,faced,5,6206,yes
1287,sixth.ai,sixth,5,6219,yes
1288,engage.ai,engage,6,6220,yes
1289,cheat.ai,cheat,5,6230,yes
1290,bronze.ai,bronze,6,6231,yes
1291,sandy.ai,sandy,5,6233,yes
1292,macro.ai,macro,5,6238,yes
1293,sender.ai,sender,6,6239,yes
1294,spouse.ai,spouse,6,6250,yes
1295,exotic.ai,exotic,6,6251,yes
1296,viewer.ai,viewer,6,6252,yes
1297,laugh.ai,laugh,5,6263,yes
1298,pitch.ai,pitch,5,6268,yes
1299,perry.ai,perry,5,6272,yes
1300,proved.ai,proved,6,6273,yes
1301,dozen.ai,dozen,5,6276,yes
1302,teeth.ai,teeth,5,6279,yes
1303,cloth.ai,cloth,5,6280,yes
1304,stamp.ai,stamp,5,6283,yes
1305,lotus.ai,lotus,5,6284,yes
1306,salmon.ai,salmon,6,6285,yes
1307,cargo.ai,cargo,5,6289,yes
1308,butter.ai,butter,6,6299,yes
1309,pepper.ai,pepper,6,6300,yes
1310,weapon.ai,weapon,6,6301,yes
1311,burden.ai,burden,6,6303,yes
1312,maple.ai,maple,5,6311,yes
1313,depot.ai,depot,5,6317,yes
1314,blend.ai,blend,5,6322,yes
1315,realty.ai,realty,6,6333,yes
1316,autumn.ai,autumn,6,6341,yes
1317,probe.ai,probe,5,6343,yes
1318,toilet.ai,toilet,6,6347,yes
1319,ranked.ai,ranked,6,6348,yes
1320,timely.ai,timely,6,6362,yes
1321,chuck.ai,chuck,5,6367,yes
1322,newton.ai,newton,6,6382,yes
1323,bingo.ai,bingo,5,6387,yes
1324,whilst.ai,whilst,6,6388,yes
1325,prompt.ai,prompt,6,6394,yes
1326,sunny.ai,sunny,5,6406,yes
1327,cedar.ai,cedar,5,6416,yes
1328,blair.ai,blair,5,6430,yes
1329,mason.ai,mason,5,6434,yes
1330,victor.ai,victor,6,6445,yes
1331,attach.ai,attach,6,6448,yes
1332,spider.ai,spider,6,6454,yes
1333,divine.ai,divine,6,6466,yes
1334,chose.ai,chose,5,6469,yes
1335,blast.ai,blast,5,6477,yes
1336,shield.ai,shield,6,6486,yes
1337,pickup.ai,pickup,6,6495,yes
1338,sacred.ai,sacred,6,6510,yes
1339,chrome.ai,chrome,6,6513,yes
1340,tommy.ai,tommy,5,6514,yes
1341,brake.ai,brake,5,6517,yes
1342,olive.ai,olive,5,6528,yes
1343,scored.ai,scored,6,6533,yes
1344,clone.ai,clone,5,6536,yes
1345,lambda.ai,lambda,6,6539,yes
1346,relay.ai,relay,5,6540,yes
1347,oasis.ai,oasis,5,6544,yes
1348,angry.ai,angry,5,6547,yes
1349,lover.ai,lover,5,6557,yes
1350,belong.ai,belong,6,6558,yes
1351,escort.ai,escort,6,6562,yes
1352,daddy.ai,daddy,5,6572,yes
1353,ferry.ai,ferry,5,6574,yes
1354,rabbit.ai,rabbit,6,6575,yes
1355,motel.ai,motel,5,6598,yes
1356,frozen.ai,frozen,6,6604,yes
1357,scales.ai,scales,6,6608,yes
1358,rally.ai,rally,5,6609,yes
1359,strain.ai,strain,6,6612,yes
1360,dying.ai,dying,5,6628,yes
1361,stuck.ai,stuck,5,6630,yes
1362,adjust.ai,adjust,6,6635,yes
1363,soviet.ai,soviet,6,6647,yes
1364,treaty.ai,treaty,6,6651,yes
1365,vocal.ai,vocal,5,6652,yes
1366,organ.ai,organ,5,6654,yes
1367,lemon.ai,lemon,5,6659,yes
1368,toxic.ai,toxic,5,6660,yes
1369,chapel.ai,chapel,6,6683,yes
1370,bench.ai,bench,5,6699,yes
1371,rider.ai,rider,5,6702,yes
1372,radius.ai,radius,6,6704,yes
1373,bobby.ai,bobby,5,6715,yes
1374,sheep.ai,sheep,5,6717,yes
1375,harder.ai,harder,6,6725,yes
1376,salad.ai,salad,5,6737,yes
1377,tender.ai,tender,6,6740,yes
1378,paste.ai,paste,5,6744,yes
1379,easter.ai,easter,6,6757,yes
1380,praise.ai,praise,6,6760,yes
1381,relax.ai,relax,5,6781,yes
1382,hardly.ai,hardly,6,6787,yes
1383,sword.ai,sword,5,6792,yes
1384,absent.ai,absent,6,6793,yes
1385,coral.ai,coral,5,6801,yes
1386,float.ai,float,5,6803,yes
1387,colin.ai,colin,5,6804,yes
1388,bubble.ai,bubble,6,6808,yes
1389,vessel.ai,vessel,6,6814,yes
1390,dairy.ai,dairy,5,6820,yes
1391,admit.ai,admit,5,6821,yes
1392,fancy.ai,fancy,5,6823,yes
1393,squad.ai,squad,5,6839,yes
1394,scroll.ai,scroll,6,6842,yes
1395,relate.ai,relate,6,6843,yes
1396,wages.ai,wages,5,6846,yes
1397,suffer.ai,suffer,6,6848,yes
1398,retain.ai,retain,6,6857,yes
1399,tunnel.ai,tunnel,6,6860,yes
1400,chaos.ai,chaos,5,6866,yes
1401,wheat.ai,wheat,5,6869,yes
1402,beaver.ai,beaver,6,6872,yes
1403,bases.ai,bases,5,6882,yes
1404,unity.ai,unity,5,6887,yes
1405,bride.ai,bride,5,6890,yes
1406,begun.ai,begun,5,6896,yes
1407,anchor.ai,anchor,6,6900,yes
1408,parade.ai,parade,6,6903,yes
1409,fever.ai,fever,5,6935,yes
1410,surely.ai,surely,6,6938,yes
1411,stylus.ai,stylus,6,6948,yes
1412,cattle.ai,cattle,6,6961,yes
1413,rover.ai,rover,5,6965,yes
1414,reload.ai,reload,6,6969,yes
1415,flame.ai,flame,5,6971,yes
1416,spell.ai,spell,5,6986,yes
1417,struck.ai,struck,6,6999,yes
1418,bridal.ai,bridal,6,7007,yes
1419,annex.ai,annex,5,7008,yes
1420,tribal.ai,tribal,6,7012,yes
1421,rebate.ai,rebate,6,7016,yes
1422,detect.ai,detect,6,7029,yes
1423,butler.ai,butler,6,7040,yes
1424,wired.ai,wired,5,7064,yes
1425,immune.ai,immune,6,7066,yes
1426,rarely.ai,rarely,6,7073,yes
1427,argue.ai,argue,5,7080,yes
1428,arise.ai,arise,5,7087,yes
1429,advise.ai,advise,6,7096,yes
1430,boxing.ai,boxing,6,7099,yes
1431,bitch.ai,bitch,5,7110,yes
1432,chess.ai,chess,5,7113,yes
1433,reveal.ai,reveal,6,7124,yes
1434,canal.ai,canal,5,7125,yes
1435,amino.ai,amino,5,7126,yes
1436,lying.ai,lying,5,7137,yes
1437,strict.ai,strict,6,7139,yes
1438,drill.ai,drill,5,7143,yes
1439,hobby.ai,hobby,5,7152,yes
1440,trick.ai,trick,5,7167,yes
1441,timber.ai,timber,6,7172,yes
1442,ruling.ai,ruling,6,7180,yes
1443,steady.ai,steady,6,7181,yes
1444,screw.ai,screw,5,7195,yes
